UserName,Handle,Timestamp,Text
COVIDBot,@COVID19_bot,2020-04-29T20:25:15.000Z,"Total COVID-19 tests performed in Malaysia: 154,203. 5,945 cases, of those 94 today; 100 deaths, of those 0 today."
Nwar,@SyazAnwarll,2020-04-29T18:53:00.000Z,Believe me Malaysia gonna have the number of covid-19 cases increase next few weeks upon this new regulations 
Steve Kemp,@SteveKempOP,2020-04-29T18:04:31.000Z,"Good that 
@looknorthBBC
 just did a comparison of UK lockdown requirements and enforcement (light) with other countries (tight), but why no mention of the crucial differences in outcome: UK #covid deaths 384 per million people, compared with Malaysia 3 and Georgia 2."
Cik Rose,@eqcreativemy,2020-04-29T16:47:14.000Z,"Deaths toll COVID-19 in ASEAN (29/4/2020):
 Indonesia: 784
 Philippine: 558
 Malaysia: 100
 Thailand: 54
 Singapore: 14
 Myanmar: 6
 Brunei: 1
 Vietnam: 0
 Cambodia: 0
 Laos: 0

#COVIDー19 
#CoronavirusPandemic"
Cik Rose,@eqcreativemy,2020-04-29T16:45:16.000Z,"Higher CASE COVID-19 in ASEAN (29/4/2020):
 Singapore: 15,641
 Indonesia: 9,771
 Philippine: 8,212
 Malaysia: 5,945
 Thailand: 2,947
 Vietnam: 270
 Myanmar: 150
 Brunei: 138
 Cambodia: 122
 Laos: 19

#COVIDー19 
#CoronavirusPandemic"
cait,@caiityyy,2020-04-29T14:43:38.000Z,"i think its time for 
@johnnyorlando
 to stop appearing in my dreams and fly to Malaysia and meet me after this covid-19 tingz 
jk"
Daily Tribune,@tribunephl,2020-04-29T13:11:30.000Z,"The DFA said more than 500 more Filipinos working abroad returned to the Philippines -- 515 from Nigeria, Saudi Arabia and Malaysia arrived on three separate flights at the NAIA -- joining thousands of repatriated due to COVID-19.

#tribunecovid19watch
#FilipinosTogether"
MilkyPeach MALAYSIA G.O,@MilkyPeach_kGO,2020-04-29T12:18:51.000Z,"All parcel will delay in shipment from Korea to Malaysia due to Covid-19. Hope you guys can understand this situation as well. I know you guys will. If any questions please DM me
Thank you for your understand and patience we do appreciate it : )

#MilkyPeach_Notice"
Sogo Wong,@sogochau,2020-04-29T10:46:04.000Z,"Step into #MCO Phase 4 today. 
Phase 4: 29 Apr - 12 May 2020
Phase 3: 15-28 Apr 2020
Phase 2: 1-14 Apr 2020
Phase 1: 18-31 Mar 2020
The outbreak of #COVID19 #武汉肺炎 in #Malaysia started after the Tablighi Jamaat Islamic gathering held on 27 Feb.
#sogowong #COVID_19 #leopltcrt"
Rin Sae リン・サエ,@rinasae2,2020-04-29T10:24:34.000Z,"Malaysia Imported Covid-19 cases from Indonesia xD

seriously though, that 69 new positive cases are students returning to this country"
SASH,@taecnicality,2020-04-29T06:54:16.000Z,"Spoke to my dad who said that, ""Malaysia is more dangerous than Indonesia because Malaysia's COVID-19 case number is higher.""

That is not even remotely true and these kinds of conversations is why I don't call home as often."
Rzmn Osmn,@rzmnosmn,2020-04-29T06:43:56.000Z,"Prediction Malaysia will be 100% free Covid-19 is on 8th July 2020.

Kalau betul, 9th July aku nak pergi dive."
faz,@makpaupau,2020-04-29T06:24:31.000Z,Heard Sogo KL is reopening. Do you think Malaysia is ready to follow the rules or will it be another massive Covid-19 cluster?
99Treble(Dave),@DavidSm91339510,2020-04-29T06:15:22.000Z,Novacyt is now supplying its COVID-19 test to more than 100 countries and approvals for the test have recently been received from Malaysia and Ecuador. The Company continues to increase its sales level into the US market and is evaluating potential options to further expand #ncyt
California Joe,@CaliforniaJoe01,2020-04-29T06:05:22.000Z,"#ncyt  Novacyt is now ""SUPPLYING"" its COVID-19 test to more than 100 countries and approvals for the test have recently been received from Malaysia and Ecuador"
Bila nak vaksin rakyat jelata?,@burstaxon,2020-04-29T04:37:47.000Z,"What is so surprising for me about Covid 19 in Malaysia so far is that, there is NO  Penang cluster for that 30k beach gathering."
Rin Sae リン・サエ,@rinasae2,2020-04-29T04:34:43.000Z,Malaysia reached 100 deaths in covid 19 cases yesterday
Dharmvir Baundwal,@dharmvir_9,2020-04-29T04:14:25.000Z,"India approves Malaysia’s request for supplying hydroxychloroquine (HCQ), a drug that is being called as a “game-changer’’ to deal with #COVID-19 crisis."
MyStarSignIsExhausted,@DellaLupi,2020-04-29T02:58:02.000Z,"I cant believe we're here, upset and mourning, that the 100th person has just died from Covid in Malaysia. And the Americans are like ""y'all said 
 it would kill millions of Americans?
 But so far, its just 50k+ dead 
 let us out! Lying media! My hair needs a touch up!!"""
COVIDBot,@COVID19_bot,2020-04-29T00:50:02.000Z,"Total COVID-19 tests performed in Malaysia: 152142. 5,851 cases, of those 31 today; 100 deaths, of those 1 today."
Zainal Azman Abu Kasim,@ZainalAzmanNS,2020-04-28T22:56:14.000Z,1.  Covid-19 has transform the business landscape in Malaysia and around the world.  Many businesses and customers are now turning to e-commerce.  Almost everything can be purchased online nowadays.  B2B and B2C model.
