UserName,Handle,Timestamp,Text
,@__fatihah,2020-08-30T16:20:12.000Z,Happy Independence Day Malaysia! Don’t forget we all still fighting Covid together!
Hannah,@hannah__04__,2020-08-30T16:14:59.000Z,"Happy Independence Day Malaysia 
 I’m so happy to be born in this beautiful country 
 And I really hope our country will be free from Covid-19 as soon as possible 
 Love you Malaysia! Malaysia is always in my heart.#MalaysiaPrihatin #Malaysia"
,@gon5ae,2020-08-30T16:13:51.000Z,"Happy Independence Day, Malaysia! Though this year celebration might not be the same as previous year may all of us free from Covid-19 in shaa Allah. "
cyaffl :): ღ,@wonniesan,2020-08-30T16:03:00.000Z,"Happy Independence Day 
 to my fellow Malaysians 
 May we win this fight with Covid-19 
 #Malaysia"
zo ♡︎,@maneuI,2020-08-30T10:30:09.000Z,the way palm was in myanmar and gink was all the way in malaysia and she told him to come to her and he did???? RICH PPL GOALS. COVID-FREE GOALS #FriendZone
Firdaus Azil,@FirdausAzil,2020-08-30T09:19:30.000Z,"After nearly a month, Malaysia records another death of COVID-19 patient, involving 75 y/o Malaysian male in Kedah."
A Madzlan,@amadzlanx,2020-08-30T09:18:34.000Z,One new Covid-19 related death today in Malaysia after no death for more than 30 days.
Daud Vicary Abdullah,@DavidVicary,2020-08-30T07:54:48.000Z,"On the eve of Merdeka Day in Malaysia let as all acknowledge the great work that has been done in the country in response to COVID-19. Leadership with great humility. Malaysia Boleh! 
 "
COVIDBot,@COVID19_bot,2020-08-30T06:45:03.000Z,"Total COVID-19 tests performed in Malaysia: 1,191,500. 9,317 cases, of those 0 today; 125 deaths, of those 0 today."
Murli,@MurliNair11,2020-08-30T00:41:34.000Z,Malaysia Concerns the symbol of the unification of the people against COVID-19 as well as the government's determination to undertake various initiatives for the prosperity of the country
Patrick,@AsISeeIt2012,2020-08-30T00:05:25.000Z,"AT THE MOMENT, MORE PEOPLE DIE OF A NATURAL CAUSE DAILY THAN THERE ARE PEOPLE DYING OF COVID 19. 
MALAYSIA CONTAINMENT AND DISCIPLINE HAS BEEN EXEMPLARY AND SHOULD BE ADMIRED AND THE PEOPLE REWARED."
Patrick,@AsISeeIt2012,2020-08-30T00:04:11.000Z,"THE FIGHT AGAINST COVID 19 IS NOT OVER.
THE MALAYSIAN ECONOMY IS WEAK ALREADY BECAUSE OF THE ESSENTIAL COVID 19 PANDEMIC LOCKDOWN FOR SOME TIME ALREADY.
DO NOT ABUSE IT.
A BANKRUPT MALAYSIA ECONOMY IS  100 TIMES WORST THAN COVID DEATHS DAILY."
Regina Rich,@Postinor,2020-08-29T18:07:42.000Z,A time like this last year I was in Malaysia having the TIME OF MY LIFE!!! That was a true holiday. I had too much fun Covid closed down the year... But eish!!! That was and EXCELLENT holiday
