UserName,Handle,Timestamp,Text
Tan Seng Giaw,@Senggiaw,2020-12-30T04:08:00.000Z,"Clusters of Covid-19 patients: if there is something wrong, clusters appear. Malaysia is also facing the challenge."
Jelaiman,@Jelaimanoo,2020-12-30T03:48:28.000Z,"wastin ma money!!!!for pcr n rtk test covid 19!!!really mad why WHOLE COLEJ 
""KOLEJ MATRIKULASI""MALAYSIA REFUSES TO MAKE ONLINE ASSESEMENT HOPE THAT for those who read this surely mad abt delay flight !!! STUDENTS LIFE NVER SO IMPROVED DURING COVIDPANDEMIC"
_sha.A,@sha_shadylla,2020-12-30T02:48:53.000Z,"Reading ASEAN news in the morning. Bright side for Malaysia they said.. I hope it is true. Saw the headline that Thailand almost win from Covid, the almost because there spike in numbers. Malaysia numbers also up & down in 4 digits now. Hopefully it will not reach 3k"
| #DISHARMONY_BREAKOUT,@kpop_pie,2020-12-30T02:43:31.000Z,Sigh seriously hoping Malaysia covid gets better.  
Tan Seng Giaw,@Senggiaw,2020-12-30T02:09:44.000Z,"Follow science: Covid-19 virus loves countries that do not care about science. Malaysia has 108,615 cases and 457 deaths. We must use scientific methods to fight Covid-19."
Kurt Andersen,@KBAndersen,2020-12-30T00:20:06.000Z,"Of 2.3 billion East Asians—China, Indonesia, Japan, the Philippines, Vietnam, Thailand, Myanmar, South Korea, Malaysia, Taiwan, Cambodia, Laos and Singapore—43,000 have died from covid.

Of 331 million in the U.S., 336,000 have died. A seventh as many people, 8 times the death."
Elsie Low,@LowElsielow,2020-12-29T23:04:57.000Z,"In Malaysia, it is the believe that only one race matters that her politics has become so corrupt to the core and so 'Covid-19'.

Azly Rahman"
trustedtraveller,@trustdtravelr,2020-12-29T17:28:32.000Z,Palawan to tighten border controls after new COVID-19 variant detected in Malaysia
Lauraaa,@LauraChoo_,2020-12-29T17:24:39.000Z,"My grandpa in Malaysia tested positive for Covid, they’ve taken him to a “facility” and since then no one has been able to contact him.."
Malaysia COVID19 Updates,@malaysia_covid,2020-12-29T13:59:10.000Z,"38,954 people are tested in the last 24 hours !

- 1,925 new cases
- 4.94% positive rate

RT-PCR : 19,954
RTK Antigen : 19,000 (weekly average, based on yesterday data)

*307 new cases from Prison Clusters
*At least 781 new cases from Worker Clusters related"
OMTVFC,@OMTVFC,2020-12-29T12:40:16.000Z,"Malaysia's current situation is quite unstable. Theatres in major states are closed due to CMCO. We're expecting the best to happen. Hope Selangor and KL revive from COVID-19 transmission. 
#Master 
@LFSCinemasMY
 @malikstreams"
Barry Chan Kong Heng,@barrychan889,2020-12-29T11:17:08.000Z,"Latest Status COVID-19 of Malaysia on December 29, 2020

Total Active Cases: 21,443 (New Cases: 1,925)

Total ICU Cases: 117 (Intubated: 55)

Total Recovered Cases: 86,715 (New Recovered Cases: 1,123)

Total Deaths: 457 (New Deaths: 2)

Total Confirmed Cases: 108,615"
Working With COVID,@workingwcovid,2020-12-29T10:53:30.000Z,"Report from an employee at CME Crown Mark Inc. in HIGH POINT, NC on Oct 16: ""There have been 14 active COVID-19 cases inside the facility and employees continue working every day. Employees are entering containers from Malaysia which have dust."""
The Edge Malaysia,@theedgemalaysia,2020-12-29T10:28:03.000Z,"Flash: Covid-19 : Malaysia reports 1,925 new cases today"
TheMalaysianInsight,@msianinsight,2020-12-29T10:28:00.000Z,"JUST IN: Malaysia's #Covid_19 death toll is at 457 with 2 new deaths. 
* 1,123 discharged, total now is 86,715.
* 1,925 new cases, total now is 108,615.
* 21,443 active cases
* 117 in ICU, 55 on ventilators. 

#kitajagakita 
#staysafestayhome"
GMA News Breaking,@gmanewsbreaking,2020-12-29T03:24:46.000Z,"Sulu Gov. Abdusakur Tan says they are mulling a lockdown of the province to prevent possible entry of new COVID-19 strain (Sabah, Malaysia has reported presence of new strain previously). |via 
@Joseph_Morong"
Joseph Morong,@Joseph_Morong,2020-12-29T03:24:01.000Z,"Sulu Gov. Abdusakur Tan says they are mulling a lockdown of the province to prevent possible entry of new COVID-19 strain (Sabah, Malaysia has reported presence of new strain previously) 
@gmanews"
Patrick Ho,@golfpaths6,2020-12-28T23:01:22.000Z,"Oi...! Stand 2m away from me lah. These uncles ah, so easy they forget about Covid-19. #socialdistancing #PhysicalDistancing #Malaysia #abnormalworld"
Li Ying⁷,@liying29,2020-12-28T16:54:10.000Z,how I wish my salary increases as fast as the covid cases in Malaysia.
vmal,@VmalRex,2020-12-28T16:31:21.000Z,"Covid-19 third wave in Malaysia caused by greedy politicians and the people who now suffering.
Better dissolve this democratic and implement monarchy system with King run the government.
Put all the bandit politicians behind bar.
#COVIDー19
#Malaysia2021
#NewYear2021"
Tan Sri Dato Dr Hj Mujeebudeen,@TSDMujeebudeen,2020-12-28T16:16:04.000Z,"to my fellow Bangsa Malaysia
my humble request to you all

FOLLOW S.O.P. Covid-19
NO NEW YEAR CELEBRATIONS PLEASE 
AVOID PUBLIC GATHERINGS & SHOPPING CENTERS

**Many Say, It Could Get Worse
Kita Jaga Kita 
#COVID19 #PRU15 #Malaysia #Malaysian #Malaysians #PakatanHarapan"
Kong Jeng Wei Ray,@finn_wei85,2020-12-28T16:08:26.000Z,Japan and Malaysia Covid cases spiking. May the new year bring relief to them.
Mark Cheong,@markcheongwl,2020-12-28T14:19:24.000Z,"[Informal survey]

Malaysian healthcare people, do we have cases of 'Long Covid' in Malaysia?

(Long COVID is an informal name for the condition characterised by long-term sequelae—persisting after the typical convalescence period—of COVID-19.)"
Malaysia COVID19 Updates,@malaysia_covid,2020-12-28T13:09:45.000Z,"33,377 people are tested in the last 24 hours

- 1,594 new cases
- 4.78% positive rate

RT PCR : 14,377
RTK Antigen : 19,000 [weekly average](record high average)

Higher tests in RTK means more foreign workers etc are being tested ."
C(iapan) elegans,@ameeh_here,2020-12-28T13:04:13.000Z,"Really, if you wanna see how malaysia will become, tgk the events in amerikkka, so much in common. (I'm taking abt the possibility of the covid cases worsening)"
Malaysia COVID19 Updates,@malaysia_covid,2020-12-28T13:03:14.000Z,"[Malaysia 28/12]

63 RT PCR Labs for Malaysia
Samples Tested : 19,794
People Tested : 14,377 [so low???]

4 RT PCR Labs in sabah
2,750 capacity
1,758 processed"
