UserName,Handle,Timestamp,Text
Varun,@Varunn98,2021-02-27T09:16:46.000Z,definitely i won’t put covid vaccine in malaysia
MFB,@fareezropi,2021-02-27T07:12:36.000Z,"Program vaksinasi Malaysia ni silap dari minggu pertama lagi. 

Priority group kacau bilau dengan vulnerable group dekat belakang senarai. Prioritise old people and people with chronic illness because they will more likely to be in ICU if they catch COVID."
Cing,@kucingputih,2021-02-27T05:44:03.000Z,"if the covid didn't kill the Malaysia ministers, something else will.

kita ke"
Tan Seng Giaw,@Senggiaw,2021-02-27T03:34:03.000Z,"Covid-19 pandemic aggravates poverty in the world. Is poverty rate in Malaysia 5.6% (over 400,000 households)? The true situation?"
Malaysia COVID19 Updates,@malaysia_covid,2021-02-27T02:58:00.000Z,"People that have registered for the vaccination via MySejahtera

24/3 [2.45pm] : 465,081
25/3 [3pm] : 836,474
26/3 [3pm] : 1,065,423
27/3 [7am] : 1.183 million

If you're not registered yet, let's register for the vaccination at MySejahtera :)

Other ways coming soon as well !"
スリナ,@Sulinaism,2021-02-27T02:25:15.000Z,Another batch of covid-19 vaccine arrived in my country this morning & this time its for all people of Malaysia.
Dr Noorfajri Ismail,@FajIsmail,2021-02-27T01:27:29.000Z,"Welcome 
@Sinovac
 to Malaysia 
. Joining 
@pfizer
 soon for our largest vaccination programe to combat Covid-19. Looking forward for it. 
@Khairykj
 @JKJAVMY
 @DGHisham"
TamilCinema_BoxOffice,@BO_TamilCinema,2021-02-26T15:26:01.000Z,"#ValimaiUpdate #Valimai release date is now selected as Tamil New Year 14th April 
Perfect date & Big Summer Festival Release after elections!
Foreign shoot cancelled as most European countries, Middle East, Malaysia are in 2nd wave of Covid, Travel restrictions in place."
Barry Chan Kong Heng,@barrychan889,2021-02-26T12:04:55.000Z,"Latest Status COVID-19 of Malaysia on February 26, 2021

Total Active Cases: 27,994 (New Cases: 2,253)

Total ICU Cases: 201 (Intubated: 93)

Total Recovered Cases: 266,846 (New Recovered Cases: 3,085)

Total Deaths: 1,111 (New Deaths: 11)

Total Confirmed Cases: 295,951"
The Edge Malaysia,@theedgemalaysia,2021-02-26T10:42:05.000Z,"Flash: Covid-19: Malaysia’s reports 2,253 new cases, with 11 more deaths"
TheMalaysianInsight,@msianinsight,2021-02-26T10:19:51.000Z,"JUST IN: Malaysia's #Covid_19 death toll is at 1,111 with 11 new deaths. 
* 3,085 discharged, total remain as 266,846.
* 2,253 new cases, total now is 295,951.
* 27,994 active cases
* 201 in ICU, 93 on ventilators. 

#KitaMestiMenang"
Malaysia COVID19 Updates,@malaysia_covid,2021-02-26T10:19:04.000Z,"Malaysia COVID 26/2

Confirmed : 295,951 [+2,253]
Recovered : 266,846 [+3,085]
Deaths : 1,111 [+11]
ICU : 201 [-4]
Intubated : 93[+2]
Active Case : 27,994 [-843]

Selangor - 633
Perak 545
Johor - 276
Sarawak - 250"
JR,@Sathiya_JR,2021-02-26T08:09:50.000Z,"The Covid 19 vaccine has rolled out in Malaysia. Frontliners from Hospital Ipoh have put up posts after getting vaccinated. The last I checked 
@hselayang
 was within the red zone. Still no clear indication when vaccinations will happen 
@jknselangor
 @Khairykj"
