UserName,Handle,Timestamp,Text
Mior 365 News,@HafizuddinMior,2021-01-30T10:42:53.000Z,"GET READY MALAYSIA.

DONT LED THE RISE OF COVID-19 MIGHT MAKE US HEADED INTO POLITICAL CRISIS, AND AT THE SAME TIME, OUR HEALTHCARE STATUS CONTINUE TO BREAKING AND COLLAPSING."
The Edge Malaysia,@theedgemalaysia,2021-01-30T10:42:04.000Z,"Flash: Malaysia reports new record of 5,728 Covid-19 cases today, with 3,285 in Selangor, 13 more deaths recorded"
Shah,@shahrizan_k,2021-01-30T10:41:58.000Z,"So we are going from 237 days to achieve the first 10,000 cases of Covid-19 in Malaysia to 2 days to achieve more than 11k cases."
f.,@_firaszhm,2021-01-30T10:40:02.000Z,"hari hari malaysia beat highscore covid 
 proud to be malaysian"
TheMalaysianInsight,@msianinsight,2021-01-30T10:39:59.000Z,"JUST IN: Malaysia's #Covid_19 death toll is at 746 with 13 new deaths. 
* 3,805 discharged, total remain as 161,527.
* 5,728 new cases, total now is 209,661.
* 47,388 active cases
* 319 in ICU, 120 on ventilators."
Mior 365 News,@HafizuddinMior,2021-01-30T10:34:43.000Z,"BREAKING: Malaysia records 5,728 new cases and 13 new death, bringing the total to 209,661 cases and 746 death. This is higher than yesterday and the highest since Covid-19 starts in Malaysia"
Malaysia COVID19 Updates,@malaysia_covid,2021-01-30T10:28:15.000Z,"Selangor remains more than 3,000 ...
WE BROKE RECORD AGAIN ! 5,728 NEW CASES TODAY !

More labs still dumping cases I gues .."
ʜᴏᴅʟ,@izwanf7,2021-01-30T09:52:33.000Z,Aaaah i see stupidity everywhere. Cepat cepat lah covid settle. God bless Malaysia.
Malaysia COVID19 Updates,@malaysia_covid,2021-01-30T09:44:27.000Z,"Foreign Workers

People Tested
20/1 : 178,370 people [+17,388]
21/1 : 184,607 people [+6,237]
24/1 : 205,316 people [+20,709]
27/1 : 225,950 people [+20,634]
30/1 : 251,101 people [+25,151]

*4,386 are positive for COVID [27/1] 
*8,601 F.Workers are tested yesterday, 133 positive"
Raja Petra Bin Raja Kamarudin,@RajaPetra,2021-01-30T09:44:01.000Z,"The opposition wants the government to give all Malaysians free Covid-19 vaccinations like in the UK. But in the UK the GST/VAT is 20% while in Malaysia the opposition wants it to be zero GST/VAT. So, tax-free plus free vaccinations. No wonder Malaysia has no money."
SG Alerts,@SG_Alerts,2021-01-30T09:17:32.000Z,"[Notice-MFA] Given the resurgence of COVID-19 cases worldwide, RGL arrangements with Germany, Malaysia, and the Republic of Korea will be suspended for three months starting 1 February 2021. More information at #SG_Alerts (11:36)"
Malaysia COVID19 Updates,@malaysia_covid,2021-01-30T09:16:56.000Z,"Random facts that I just saw

Australia COVID rule are so strict, they're reaching 2 weeks milestone of no local community cases nationwide tomorrow but some parts still have restriction in terms of border etc (but starting to ease) and some maybe still require a COVID test"
rach,@rachhdukes,2021-01-30T08:34:56.000Z,I just want to clarify just because the COVID vaccine was found and coming to Malaysia soon . That doesn’t mean we shouldn’t obey the SOPs yeah :)
ⓐⓡⓝⓝⓘⓔ ™,@MissNumberA,2021-01-30T08:11:36.000Z,malaysia covid situation reminds me of an indian lady asked me for work when i was in post office..sa pn bekakai jga dlu but hang in there 
rui,@ashekeenym,2021-01-30T08:06:02.000Z,"the fact that malaysia almost reach the ""covid-free state"" but kerana nila setitik rosak susu sebelanga and now here we are with 5k+ cases in a day"
Teha ✧ @ Semi-Hiatus,Teha ✧ @ Semi-Hiatus,2021-01-30T04:23:11.000Z,"Covid cases in Malaysia had reached an all time high yesterday and things are looking tough, but you know what? I'm not going to think about any of that and other bad things today. After looking back at my photo gallery, today I just wanted to share some of my memories"
Travel Watch,@BCDtravelwatch,2021-01-30T03:57:55.000Z,"Asia, Germany : Singapore suspends essential business travel arrangement with Germany, Malaysia and South Korea starting 1 February amid COVID-19 resurgence"
Ram Ahgir,@RamAhgir2,2021-01-30T03:28:11.000Z,"COVID-19 cases worldwide, the Government of Singapore will be suspending the Reciprocal Green Lane arrangements with Germany, Malaysia, and the Republic of Korea, for a period of three months beginning from Monday, 1 February 2021, 0001hrs."
Malaysia COVID19 Updates,@malaysia_covid,2021-01-30T03:25:32.000Z,"No wonder the tests numbers did not move an inch yesterday but drop (PCR numbers) we don't know RTK . Because Private Labs and Clinics just dump the backlog cases that was not reported

The actual question how many more backlog are there in Malaysia nationwide?"
Kabilan Nair,@KabilanNair,2021-01-30T02:49:43.000Z,I'll be a millionaire if my bank balance increases like Malaysia's daily covid cases 
"aila. || stu(dying)
stream FOREVER",@bleumingwinter,2021-01-30T02:44:10.000Z,"its 5725 covid cases here in malaysia, 4k daily cases and we’re still going to school"
𝗳𝗮𝗿 彡★,@farishhhadi,2021-01-30T02:26:36.000Z,"i feel like people in malaysia thinks getting covid is like just having a fever and u’ll be in a luxurious room in a hospital. it’s not , it’s totally the opposite. as long as yall are not effected , yall don’t care . that’s malaysians. stay at home and social distance. so simple"
Tan Seng Giaw,@Senggiaw,2021-01-30T02:07:27.000Z,"Covid-19 pandemic causes sufferings. On 29 January, 2021, Malaysia had a total of 203,933 cases.

When pandemic can't be overcome,
     Movement control order is needed;
No work means no income,
     When 'll the virus be defeated?"
Marcus Osborne,@brandconsultant,2021-01-30T01:26:09.000Z,"1/2 One benefit of Covid to #Malaysia could be a realisation that allowing manufacturing, construction & other sectors to pay low wages to foreign workers & cram them into dormitories actually costs the country more than it earns them. Especially as some of these companies have"
Tamil Cinema Ulagam (Malaysia),@ulagam_cinema,2021-01-29T17:34:01.000Z,"#Malaysia

The government will not enforce a full lockdown even as a last resort to contain the COVID-19 pandemic, the Finance Minister has said."
paan ☻,@thegr8paan,2021-01-29T16:24:25.000Z,"5k cases harini, pkp failed, public examinations are still ongoing, putting students in risk of getting covid, the economy is falling apart, the question is apa function menteri-menteri dalam malaysia dapat gaji tapi tak buat kerja?????"
Pia,@_epiphiany,2021-01-29T16:15:31.000Z,Does the Malaysian government cover cost for covid testing (if any) for Malaysians who are outside of Malaysia?
fa 愛,@yuujimegs,2021-01-29T16:14:11.000Z,5k covid cases today in malaysia...wow am i able to secure my internship in any of the companies that i applied? ಥ_ಥ
Pooff,@milo_horlicks12,2021-01-29T16:11:43.000Z,"My current worries:
- Healthcare staff exhaustion
- Raising of Covid-19 cases
- Malaysia economy 
- Corruption"
aini ¨̮,@anharus_,2021-01-29T15:56:04.000Z,Thinking abt if covid were to end and then treasure comes to malaysia and held a concert or something... I would really want to meet you guys irl 
•ᴥ• 피카 ♡︎⁹,@melfmerries,2021-01-29T14:05:32.000Z,What is happening with this covid situation in Malaysia right now?? Tambah 300 lagi boleh genap 6000 cases
ENHYPEN JAY MALAYSIA,@jay_msia,2021-01-29T13:54:43.000Z,"[not enha related] 

As we all know, Covid-19 cases in Malaysia for today have reached 5000+ cases and almost reach 6k. 

We would like to advice everyone to always stay hygiene, wear mask wherever you go, stay at home, take care of yourself and stay healthy. #KitaJagaKita"
haelle,@ultscravity,2021-01-29T13:41:23.000Z,"my bro's mom in law and dad are on a vc and we were talking abt the covid cases of ph, uae and malaysia and i'm out here literally knowing everything abt how malaysia handles things up until their number of cases and now they're shocked bcs i know too much like"
Reiko,@reiko76_com,2021-01-29T13:17:30.000Z,Can I assume one of the main contribution of the high numbers of Malaysia’s covid case is the ayam percuma at Putrajaya? The date just add up.
𝕯𝖆𝖓𝖎𝖆𝖑,@putrdan,2021-01-29T13:15:19.000Z,"Woah Feb is coming & we’re still in “lockdown”, remember the video stating how good Malaysia was in fighting covid? Well, it’s not good anymore"
nysh,@nysh,2021-01-29T13:04:49.000Z,"eh Malaysia hello full capacity in working places w/ full working hours EQUAL impossible distancing / social bubble ! YA thr will b losses, -ve consequences, downfall, etc to d biz/economy. Or u spend higher on securing workplace w/ tools against Covid. It's a PANDEMIC la ngok!"
MAGGI GORENG,@ItsNikita00,2021-01-29T13:04:09.000Z,the malaysia airlines covid warden from melbourne to kl is hubba bubba
osi,@OsiHardiani,2021-01-29T13:00:53.000Z,"Intended to write about Insurance scandal or gamestop. But caught up by malaysia covid status today, &ended up cooking Baso Aci. Ngaso heula ku baso aci guys.."
,@lucielletarius,2021-01-29T12:58:51.000Z,when will malaysia realize that PKP 2.0 is a big waste of time.. the covid cases is just horrible day by day.
Benny Teh,@Benny_TehVerto,2021-01-29T12:56:43.000Z,"this pandemic in malaysia, it's either you die of starvation or you die from covid
that's it ,no other choice"
Ahmad Musaddiq,@thekangbae2,2021-01-29T12:48:02.000Z,"Everyone is so mad right now in Malaysia due to the government mishandling this COVID which push our country to 5,000+ cases today . Maybe we need to hidupkan balik #SiBodohKauDengarSini trend and MULALAH sebab the other day berkesan untuk extend kedai makan boleh bukak ."
#SupportLocalFootball,@SLFMalaysia,2021-01-29T12:45:38.000Z,"Hari ini telah mencatatkan kes tertinggi Covid-19 dalam Malaysia dengan 5,725 kes

Like it or not, we have to accept the fact that the virus is already in our society, so rather than extending the MCO we need a stricter SOP and learn to live with it"
milord,@Najmiluthz,2021-01-29T12:40:45.000Z,"Covid outsmarted Malaysia. Stupid government rakyat dah putus harapan better start from 0. New government, new hope."
Malaysia COVID19 Updates,@malaysia_covid,2021-01-29T12:36:48.000Z,"Speaking of economy, our economy will not recover unless COVID are stabilized back . There is no point on loosing the restrictions and open all 5 sectors (''economy and livelihood reasons'') when those are the factors which harms the country and people livelihood back ."
sai,@SaiFarihahRose,2021-01-29T12:27:36.000Z,"i wanna go out of malaysia.. malaysia sucks?? covid cases, discriminate local graduate, underpaid, mandarin speaker, racism.. i cant bear it anymore"
Dr Jason Leong,@DrJasonLeong,2021-01-29T11:57:22.000Z,Malaysia is being short-squeezed by Covid-19.
Malaysia COVID19 Updates,@malaysia_covid,2021-01-29T11:38:47.000Z,"- Hitting 5.7k nationwide new cases
- Selangor hitting 3k new cases in a single day (Klang Valley  3,831)
- Johor still remain high at 684 new cases

Is the government will still relax the SOPs, not closing down workplace sectors in Klang Valley, Johor and Sabah? Still economy?"
Nimble Stupendous,@FemaleRunner,2021-01-29T11:37:04.000Z,"The forecasting team forecasted and released on 07/01/2021 that covid-19 new cases in Malaysia would reach 5k in the third week of February.

NOW WHAT. We are ahead of the schedule. WHY. HOW. WHAT. WHO. PFFTTT."
mun,@seonhonieeee,2021-01-29T11:27:36.000Z,"I know why Malaysia trending Oh My Car. We need to find way to relieve stress from today's new covid cases in here... today we got new 5k cases. It's not smallllll. So Han Jipyeong Timjangnim is our way. Malaysian Seonhohada 
 #KimSeonHo is our safety net."
"Han
ia bcs uni",@cheerforjww,2021-01-29T11:25:55.000Z,"Almost 6k covid-19 cases in Malaysia 
 I'm so scared!!!"
beby pls dont go,@bornskinnychicx,2021-01-29T11:22:49.000Z,"Our current government should step down. You failed to lead Malaysia. Almost 6k covid cases.. With useless ongoing lockdown? Only benefit to those useless menteri2! Stop wasting our money on this stupid government! We, Malaysians deserve better than this "
Asma,@Nrl_Asma,2021-01-29T11:21:20.000Z,"What I can see now with the covid in Malaysia is the exact ‘nasi sudah menjadi bubur’. Like, nothing can be done now to recover. Kalau buat total lockdown, economy will be greatly affected. Tak buat total lockdown, cases naik every freaking day "
Malaysia COVID19 Updates,@malaysia_covid,2021-01-29T11:19:06.000Z,"Positive Rate for Malayia (RT-PCR data)

25/1 : 49,349 p.tested [6.18%]
26/1 : 53,783 p.tested [6.67%]
27/1 : 72,777 p.tested [5.06%]
28/1 : 58,913 p.tested [6.95%]
29/1 : 57,197 p.tested [10.0%]

*Not actual P.Rate
*Demand KKM to include ''RTK Test'' in official data 
@DGHisham"
Aliff,@alifnurimann,2021-01-29T11:18:09.000Z,"In 2 or 3 months, Covid-19 cases in Malaysia can rise up to 10,000 cases."
is busy,@otteryeom,2021-01-29T11:14:47.000Z,5725 cases covid-19 today in malaysia . stay safe and take care malaymoots ! 
Meh,@danishaelianna,2021-01-29T11:14:30.000Z,"The meleis are the karens of malaysia. Lmao some of them rlly be out here saying ""covid dosent exist"" and continues fucking shit up"
aly,@airenjuns,2021-01-29T11:11:56.000Z,today 5.7k covid cases in malaysia ...... dude we are wth will it reach 8k before chinese new year omg
khalid karim MRTCo RM53B LOSS,@khalidkarim,2021-01-29T11:06:23.000Z,"Malaysia very rarely meet targets...but this one,they beat very comfortably.With a month and a bit to spare.

KUALA LUMPUR, Dec 11 — Malaysia is projected to experience a continuous rise in Covid-19 cases until mid-March 2021, hitting over 5,000 infections daily from February 25"
irfan nguyen juruh,@lompattikammm,2021-01-29T11:04:34.000Z,"Indonesia population: 270m
Covid cases today: 13600
Malaysia population: 32m
Covid cases today:5700"
Kwan Will Sen,@kwanwillsen,2021-01-29T11:00:59.000Z,"Indonesia, Myanmar, Singapore have started their vaccination programmes. Thailand in mid-February. 

In Malaysia, we are arguing over whether JMB or condo management can impose Covid testing on foreign residents."
イレイン,@elaineloh,2021-01-29T10:39:20.000Z,"I think Malaysia’s covid numbers are pure BS.
Like, what country goes on months long lockdown last and see their numbers RISE??
Wtf dude.
I’ve seen pics of empty malls, it’s not like ppl are milling abt either so like... what gives???"
TiML!M // #TLJournalEP is now AVAILABLE!,@timlim12,2021-01-29T10:37:06.000Z,"Today’s Covid-19 cases is higher than my total of socmed followers. 

Apa lagi Malaysia mau..."
아드린,@laikhaika,2021-01-29T10:36:33.000Z,Wow wow wow malaysia chill sikit covid nyaaaa
jaemin gf (real),@lovrjaemin,2021-01-29T10:36:04.000Z,lol 5.7k covid cases in malaysia today..
khalid karim MRTCo RM53B LOSS,@khalidkarim,2021-01-29T10:33:02.000Z,"""KUALA LUMPUR, Dec 11 — Malaysia is projected to experience a continuous rise in Covid-19 cases until mid-March 2021, hitting over 5,000 infections daily from February 25, according to US-based Institute for Health Metrics and Evaluation (IHME)"".

Bodoh punya prediction."
itsme,@uyuyu06,2021-01-29T10:32:10.000Z,"Can I just move to New Zealand or maybe the nearest one, Korea cuz Malaysia's covid case like so damn high bruh. The politician pun wallahi, tak function."
R E S T,@taecherxy,2021-01-29T10:31:41.000Z,Damn. Almost 6k new covid cases in Malaysia 
𝓡𝓸𝓼𝓮,@ros_izzah,2021-01-29T10:29:14.000Z,Selangor is the back bone of the covid-19 cases in Malaysia.
your local Minecraft player,@Mcbox14,2021-01-29T10:27:06.000Z,Bruh covid in Malaysia today 5700+ cases
NaveenKumarGaneson,@_Naveenkumar_6,2021-01-29T10:26:47.000Z,"#Selangor 
Richest state in Malaysia ,
Most populated state in Malaysia ,
And always the the first ranking for the most Covid-19 case 
Rombe perumai ah iruka 
 keedu "
H | FEARLESS (TV) AOTY,@SanaDidThat,2021-01-29T10:24:24.000Z,"Malaysia recording 100K covie cases in one month's time and the higherups are still:-
1) Relaxing/changing the rules & SOP everyday as if we dont have 3~5k cases per day
2) Not closing FACTORIES/WORKPLACES as most of the Covid-19 cluster are frok there."
SyAm Kamal,@graxier,2021-01-29T10:19:13.000Z,Covid-19 di Malaysia. From Zero to Hero and back as Loser!!
bihaaa,@shbbiha,2021-01-29T10:17:42.000Z,covid cases in malaysia now is higher than fresh grad salary
Malaysia COVID19 Updates,@malaysia_covid,2021-01-29T10:13:32.000Z,"Additional info :
- We hit a not so happy new milestone which is surpassing the 200,000 confirmed cases as well for today after that 5,725 new cases"
˗ˏˋ Yus ⁷ˎˊ˗,@itsyus_my,2021-01-29T10:10:38.000Z,"Malaysia is ranked at #29 for Covid cases worldwide. At the rate where we are now, we probably gonna unlocked the Top #10 or perhaps Top #5 ?"
Malaysia COVID19 Updates,@malaysia_covid,2021-01-29T10:04:34.000Z,"I'm eager to know where the 3,126 new cases in Selangor are coming from but at the same time worried how high our positive rate for today will be considering if we test the highest we ever done before aka 72,000 people that will make the positive rate at 7.95% or 8% which ......."
Sillygal88,@Sillygal881,2021-01-29T10:01:17.000Z," Today, Malaysia's Covid-19 new cases broke all records - 5,725 new cases!!! Selangor takes the lead wt 3126 cases, followed by KL (687 cases) & Johor (684 cases)"
ANMILALACO by anis,@AnmilalaCo,2021-01-29T10:01:11.000Z,Malaysia is a small country. 5K of covid cases IS A LOT.
Rayner Laban,@MarioRayner,2021-01-29T10:00:21.000Z,"Heartbreaking... 5,725 cases
Under MCO and SOE 
Wei...! still no urgency???
Better resign immediately... 
You're such a burden to every Malaysia!
If no human being can force you to resign! Covid-19 has..."
