UserName,Handle,Timestamp,Text
문 도영,@mundoyeong_,2020-07-28T13:13:21.000Z,"How Malaysia people show they stupid today is seriously 
 like never think about others. Our frontliner do they best to prevent this COVID-19 from spread but malaysia people really brave and stupid. Disappointed "
Aisyah Abdul,@IsyaRocher,2020-07-28T12:51:39.000Z,"With this, I might be taking a break from Twitter. I'll be on and off here checking covid status in Malaysia and maybe replying dms."
Zwan.rzf,@yourboymacha,2020-07-28T12:35:32.000Z,"Bruh, as a DS Najib supporters you guys should be thankful that he's gonna be Quarantine for 12 years and most probably might not get infected by CORONA, while we have a high chances of being in ""STATUS TERKINI COVID-19 MALAYSIA"" ...No hate tho"
Don 'unintentionally tweeting' Coyote,@MaisonGladys,2020-07-28T12:11:48.000Z,"Johnson lecturing on ""duty""

Johnson-Cummings idea of world-beating

UK Covid deaths 45,300

Germany 9,086

Sweden 5,619

Poland 1,624

Japan 985

Denmark 611

S Korea 296  

Greece 194

Malaysia 123

Australia 118

[FT 20.07.20] #wato"
Syed Sajid Hasan,@saiyidsajidshah,2020-07-28T12:05:49.000Z,Former PM of Malaysia mr Najib Razak has been sentenced for ten years .. signs of time .. the world after covid is about recovering from corruption
李,@gnoyt2,2020-07-28T11:24:00.000Z,"wait so covid case in malaysia is increased? if my malaysian mutuals read this, take care of urs. i have family and rl friends there too."
malaysia was a mistake sukarno shouldve nuked us,@kuihsepotong,2020-07-28T11:12:17.000Z,"Breaking: Former PM of Malaysia, Najib Razak has tested positive for Covid-19"
lei ♡༄,@_blberrybunny,2020-07-28T10:26:21.000Z,Malaysia might start MCO again if covid cases become 3 digits 
Barry Chan Kong Heng,@barrychan889,2020-07-28T10:20:39.000Z,"Latest Status COVID-19 of Malaysia on July 28, 2020

Total Active Cases: 212 (New Cases: 39)

Total ICU Cases: 1 (Intubated: 1)

Total Recovered Cases: 8607 (New Recovered Cases: 6)

Total Deaths: 124 (New Deaths: 0)

Total Confirmed Cases: 8943"
nanaⱽ ia,@fairyxuxi,2020-07-28T10:16:27.000Z,"Covid-19 cases in Malaysia increase again <//3. Wear your mask people 
 stay safe and take care :D"
தமிழ் | 𝕥ꪖꪑⅈꪶꫀ𝕫,@tamilez_R,2020-07-28T10:13:46.000Z,"Very, very Soon. 

""Malaysia hits 10'000 covid-19 cases, local number rising"" 

Mark my words."
herald. ♔,@herald_eddy,2020-07-28T10:11:06.000Z,"With the current Covid pandemic getting worst everyday in Malaysia, in 2 weeks from now, more people will be affected by Covid, and only then will everyone be like ‘ScArEd, WoRrIeD AnD AfRaId’. When that time arrives, it will already be too late."
♕ y/n,@5hdisaster,2020-07-28T09:54:57.000Z,The rising cases of Covid-19 in Malaysia is the perfect example of human who doesn’t give a fuck about anyone else but themselves and they’re of educated on Covid-19 or they simply don’t give a fuck.
Sparkly Fairy,@mira_zahrah,2020-07-28T09:28:40.000Z,It makes me scared seeing people in Malaysia act like Covid-19 is no longer around. We are living a new normal now. We need to follow the sop. At least we can go around without much restriction but we abused the freedom.
Don Samsa,@hangovermacha,2020-07-28T09:19:12.000Z,"One person detected positive Covid-19 at Duta Court Complex , booooom total Malaysia shutdown."
The Edge Malaysia,@theedgemalaysia,2020-07-28T09:07:03.000Z,"Flash: Covid-19: Malaysia records 39 new infections, pushing active cases to 212 — highest since June 25"
Faiz,@mdfaiz_00,2020-07-28T08:57:11.000Z,"Hoping Covid-19 in Malaysia still remains controllable despite unwanted things happening 
 hope Malaysians follow the SOP 
 couldn't afford another PKP "
TheMalaysianInsight,@msianinsight,2020-07-28T08:45:04.000Z,"JUST IN: Malaysia's #Covid_19 death toll remains at 124.
* 6 discharged, total now is 8,607
* 39 new cases, total now is 8,943
* 212 active cases
* 1 in ICU, 1 on ventilator"
Zakai,@DatDumplingDrgn,2020-07-28T06:17:16.000Z,My country is having a natural selection of who gets covid 1st by having a mass gathering in the city center. This is the curse of a Resource Curse country (Paradox of Plenty). #malaysiandilemma #malaysia #resoursecurse #paradoxofplenty
ナジュアディヤナ,@najwadiyana,2020-07-28T05:12:43.000Z,"If there’s a new Covid-19 cluster in Malaysia, and I couldn’t see my husband or my family this year. I’d be f pissed off."
Shae,@abe_shae,2020-07-28T04:47:18.000Z,Najib masuk jail. While his supporter push Malaysia to the 2nd wave of covid
Thanendran T,@mrthanen,2020-07-28T04:08:57.000Z,"Considering the crowds outside the courts today I just hope the the health DG doesn't report :

Cluster Najib.
#covidmalaysia #najibrazak  #courtcase"
PTI Achievements,@PTI_Achievement,2020-07-27T19:49:17.000Z,"Despite of world wide economic crisis due to COVID, still 91/204 countries registered growth in Exports from Pakistan. These countries in total contributed 27.35% of overall exports. UAE, KSA, Malaysia , Qatar, Hong Kong, Holland, Denmark & Kenya etc. were leading countries."
TheMalaysianInsight,@msianinsight,2020-07-26T08:53:15.000Z,"JUST IN: Malaysia reports another #Covid_19 death today, bringing total to 124.
* 6 discharged, total now is 8,600
* 13 new cases, total now is 8,897
* 173 active cases
* 2 in ICU, 1 on ventilator"
Tan Seng Giaw,@Senggiaw,2020-07-26T04:38:29.000Z,The determination of people in villages and new villages help Malaysia to control the Covid-19 pandemic. Lets hope that it will not resurge. Many residents migrate to towns. All residents must adapt to the digital world.
moonselene,@anz16260829,2020-07-26T04:34:25.000Z,It's scary to think that Covid cases in Malaysia are expected to rise again.
Nadhirah,@nadhharun,2020-07-26T04:04:49.000Z,"It’s sad that I couldn’t meet GOT7 in Malaysia due to COVID-19, but i really hope you guys will come again someday 
 #chatwithmark"
Tan Seng Giaw,@Senggiaw,2020-07-26T02:50:52.000Z,"Obesity causes problems. Nearly 2 billion adults in the world are obese. About 50% adults in Malaysia are overweight and over 20% obese. 
     Professor Susan Jebb, England, has found that obese patients have more than 40% chances of dying from Covid-19."
Malaysian Chinese LAST VOTE GE11,@bigbosscamelia,2020-07-26T02:28:49.000Z,"#asia #旅行 #wanderlust #대만 #photo #travelblogger #taipei101 Dear Novel Coronavirus COVID 19,pls infect & kill all Malaysians babies age 0-24month do not wear FACE MASKs/shields inside mall@Mid Valley Megamall,Lingkaran Syed Putra Kuala Lumpur,Malaysia!! #yummy #instafood"
Malaysian Chinese LAST VOTE GE11,@bigbosscamelia,2020-07-26T02:28:33.000Z,"Dear Novel Coronavirus COVID 19,pls infect & kill all Malaysians babies age 0-24month do not wear FACE MASKs/shields inside mall@Mid Valley Megamall,Lingkaran Syed Putra Kuala Lumpur,Malaysia!! #livewell #taipei #taiwan #台北 #travel #台湾 #台灣 #travelgram #photography"
Malaysian Chinese LAST VOTE GE11,@bigbosscamelia,2020-07-26T02:08:57.000Z,"#malaysiatrulyasia Dear Novel Coronavirus COVID 19,pls infect & kill all Malaysians babies age 0-24month do not wear FACE MASKs/shields inside mall@Mid Valley Megamall,Lingkaran Syed Putra Kuala Lumpur,Malaysia!! #tourismmalaysia #travelgram #travelling #travellingram"
Malaysian Chinese LAST VOTE GE11,@bigbosscamelia,2020-07-26T02:08:42.000Z,"#malaysianfood #dessertstagram #coolingdown Karma Virus-10 Q novel coronavirus COVID 19 for exposing the WORLD's working poor people,year 2000 to 2020 #LittleIndia #Bugis #desserts #yum #icecream #travel #foodie #abc #icecream #malaysia #malaysianfood #dessertstagram #coolingdown"
Emily Khor,@emzkhor,2020-07-25T22:21:31.000Z,"Waiting for COVID to die down so that I can finally get someone from home to buy and bring me the Tefal rice cooker that I want that is only sold in the Singapore/Malaysia 
 I don’t trust these Western rice cooker brands lmao"
aripazmi,@arpzmi,2020-07-25T20:37:52.000Z,"Millions of people in Malaysia, there’s bound to be a few selfish fucks and it’ll take only a few of them to make COVID-19 worse. There’s no hope because it’s humanly impossible to contain it because of human nature. The odds are against us."
