UserName,Handle,Timestamp,Text
Maryam's,@Maryam_512,2021-03-30T15:57:00.000Z,Ministers resigning due to bad covid management? Will never happen in Malaysia.
nikki,@tyhengni,2021-03-30T14:00:44.000Z,"smtown live in malaysia next please after covid is over 
 im saving money for this."
Gaveen Prabhasara,@gaveen,2021-03-30T13:55:15.000Z,"Logistics discussions these days are like, 
A: covid
Q: I didn't ask anything yet
A: yes, but covid
Q: ok,... even with that...
A: ever given
Q: ...but...
A: suez
Q: ...you're shipping from Malaysia,... to Colombo
A: 
 scenic route?"
dzfrn,@alcremo,2021-03-30T13:40:24.000Z,Fine everyone at Neelofa’s wedding RM10k for Covid SOP breaches and you’ll get enough funds to cover the vaccine supply for all Malaysia
TheMalaysianInsight,@msianinsight,2021-03-30T09:31:28.000Z,"JUST IN: Malaysia's #Covid_19 death toll is at 1,265 with 5 new deaths. 
* 1,148 discharged, total remain as 328,554.
* 1,133 new cases, total now is 344,018
* 14,199 active cases
* 161 in ICU, 76 on ventilators. 

#StaySafe"
اليشبا,@abhsila_,2021-03-30T08:20:21.000Z,Not my uncle calling me from Malaysia to ask me if the covid vaccine alters your DNA 
Malaysia COVID19 Updates,@malaysia_covid,2021-03-30T06:26:39.000Z,"24/7/20 - 27/3/21
- 157,379 people have returned to Malaysia

1/1/21 - 27/3/21
- 61,931 people have returned to Malaysia
- 61,462 are placed in mandatory quarantine facilities
- 409 home quarantine
- 31 hospital quarantine
- 29 are Short Term Business Travellers – STBT
@DGHisham"
DHL Express Malaysia,@DhlExpressMY,2021-03-30T03:59:16.000Z,"Malaysia's 
8.2% annual growth Leading Index (LI) in January 2021 has instilled significant 
confidence that the economy will rise from the severe 
Covid-19 recession. 

#msia #economy #economics #Covid_19"
Veera Singam,@VeeraSi57150776,2021-03-30T03:25:30.000Z,"Any Covid-19 vaccine shortage temporary, unlikely to impact global vaccination strategy, say experts in Malaysia."
queenofghostingpeople,@Nsywleena,2021-03-29T12:35:21.000Z,Just realized that i havent paid attention to the number of covid cases in Malaysia even today
TheMalaysianInsight,@msianinsight,2021-03-29T09:29:15.000Z,"JUST IN: Malaysia's #Covid_19 death toll is at 1,260 with 5 new deaths. 
* 1,097 discharged, total remain as 327,406.
* 941 new cases, total now is 342,885
* 14,219 active cases
* 166 in ICU, 73 on ventilators. 

#StaySafe"
Elill,@Elill_E,2021-03-29T08:38:15.000Z,"JUST IN : For the first time year, Malaysia has recorded 3 digit number of daily Covid-19 cases with  941 cases today.

#COVID19"
