UserName,Handle,Timestamp,Text
Adam Bissaka.92,@AdamFaridOngg,2020-05-30T21:46:05.000Z,"It's really fun to see people share things about politics. Funny, yes. Sad, yes. Covid-19 settle lagi gengggg. Lekluu. Tapi tu la, Article 10 of the Federal Constitution of Malaysia."
nitm,@nitm15,2020-05-30T16:28:58.000Z,"An update of the day: America having two main issues one is COVID-19 pandemic and the other was #BlackLifesMatter. In Malaysia, there’s only one issue been talking about 2 politicians fighting over a dismissal from party."
Ular Jadian,@birampurnama,2020-05-30T15:21:33.000Z,Dont forget abt drunk driving issue in malaysia and the current covid 19 as well. We had way too many deaths from drunk driving as of late.
Hariz Hafizan,@HarizTasnim,2020-05-30T14:48:15.000Z,"""The Covid-19 pandemic has dramatic consequences for the Malaysian Economy: GDP is expected to contract 0.2% at its worst or grow 0.5% at its best in 2020, compared to a 4.3% growth in 2019, according to Bank Negara Malaysia."""
Princess,@princesselviraa,2020-05-30T13:54:11.000Z,"I hope Malaysia learns from this Covid situation, the importance of stopping human trafficking, stricter border security and taking care of migrant workers’ living conditions. #COVID19malaysia #malaysia"
Joseph Thavaraja,@josephthavaraja,2020-05-30T13:40:31.000Z,"#Malaysia reports 30 new #coronavirus cases

#covid19 #foodporn
#BlackLiveMatter
#kitajagakita #BREAKING #BreakingNews #NewsPicks
#dinner #ootd #kualalumpur
#KualaLumpur #Kaamatan
#StayAtHome #instafood #COVID #viral #Chinese #CoronavirusPandemic"
Bushy Top,@ATHEIST_Blessed,2020-05-30T12:02:12.000Z,"What happens to frontliners when covid is eradicated and heroes are no longer required? It’ll be sad, but they’ll be forgotten. Enjoy your 15 minutes, heroes. Especially the ones in #Malaysia."
Bushy Top,@ATHEIST_Blessed,2020-05-30T11:05:28.000Z,Wow. #America has 10x the population of #Malaysia but 1000x covid-related deaths. I’m truly amazed. #seeya #wouldntwannabeya
S,@Sabrina_Rozman,2020-05-30T10:26:17.000Z,I really hope that malaysia will still banned outsider to enter our country until we get covid-19 vaccine.
Richard,@richiegogo,2020-05-30T10:07:15.000Z,"COVID-19 deaths

Hong Kong = 4
Taiwan = 7
New Zealand = 22
Singapore = 23
Qatar =36
Thailand 57
Malaysia =115
Greece = 175
Korea = 269
Japan = 874
USA = 104,000 +

WTF is happening with the US? Diet and underlying health conditions from diet. Get a grip!"
Barry Chan Kong Heng,@barrychan889,2020-05-30T09:57:48.000Z,"Latest Status COVID-19 of Malaysia on May 30, 2020

Total Active Cases: 1317 (New Cases: 30)

Total ICU Cases: 9 (Intubated: 2)

Total Recovered Cases: 6330 (New Recovered Cases: 95)

Total Deaths: 115 (New Deaths: 0)

Total Confirmed Cases: 7762"
Yukoxuan,@yukoxuan2510,2020-05-21T20:23:02.000Z,"I don't wanna spread negativity, but I had to get this off my chest.
Yo man, I know that Covid-19 has been giving you a hard time that you were forced to be separated from your family due to they are not in Malaysia."
COVIDBot,@COVID19_bot,2020-05-21T15:25:02.000Z,"Total COVID-19 tests performed in Malaysia: 481,411. 7,059 cases, of those 50 today; 114 deaths, of those 0 today."
Huzir Sulaiman,@pemudatua,2020-05-21T14:16:22.000Z,"To fight the covid pandemic, you need to detained the illegal immigrants. they will be contained and tested. to avoid further spread of the virus. good move by the govt.
@MelGohCNA
 #KitaJagaKita #KitaTeguhKitaMenang #Malaysia #Malaysian"
Kidik Cherang,@barohpadi,2020-05-21T13:15:42.000Z,"Post Covid-19 goal :

Cuti-cuti Malaysia."
mira,@shuajuseyo,2020-05-21T12:53:48.000Z,"i know its a bad thing to joke about but

imagine oty in malaysia did happen, and somehow covid-19 was spreading in the concert, are we going to be label as kluster concert seventeen?"
ER Ragesh,@rageshvyasa,2020-05-21T11:47:33.000Z,"24 #Covid_19 cases in Kerala today 
foreign returnees 14,10 from other states

UAE returnees-8
Kuwait-4
Qatar-1
Malaysia-1
Maharashtra-5
TN-3
Gujarat-1
Andhra-1

8 more  tested negative today 

total cases-690
active-177
discharged-510
@SobhanaNair
 @shemin_joy
 @SherineElizabe2"
Nazz,@angelachase74,2020-05-21T11:00:00.000Z,What we can learn from vietnam handling of covid 19 is close borders early AS soon as heard any case from that country. Lock down early and contact tracing. Malaysia could have done better if we had closed border and stopped mass gathering earlier. Lesson 4 next time.
Zir^,@Zir80s,2020-05-21T10:50:30.000Z,Malaysia covid -19 : so close yet so far
The Edge Malaysia,@theedgemalaysia,2020-05-21T09:42:04.000Z,Flash: Malaysia will look for ways to access ‘Remdesivir’ if the antiviral drug is proven effective against Covid-19 — Health D-G
Monicatwit,@MonicavanDelden,2020-05-21T09:41:33.000Z,Malaysia arrests undocumented migrants amid Covid-19
Nina Muslim-Shuey,@NinaShuey,2020-05-21T09:21:15.000Z,"Worst #Covid_19 news today: old folks homes and detention camps, places that are the most vulnerable and have the highest risk of transmission, reported positive cases. #Malaysia"
james leng,@jameslengjy,2020-05-21T08:38:00.000Z,"Malaysia 21st May CCP Virus COVID-19 Update
+50 > 7059 Total Confirmed Cases (3 imported, 47 local transmission) (Of 50, 41 are foreigners)
+0 > 114 Deaths (1.61% of total)
+90 > 5796 Total Recovered (82.1% of total)
10 ICU (7 require ventilator)
1149 Active Cases"
TheMalaysianInsight,@msianinsight,2020-05-21T08:35:25.000Z,"JUST IN: Malaysia's #Covid_19 death toll remains at 114.
* 90 discharged, total now is 5,796
* 50 new cases, total now is 7,059
* 10 in ICU, 7 on ventilators"
Vincent De Paul,@vincentdepaul12,2020-05-21T08:34:37.000Z,"Malaysia Covid 19 update 
Discharged: 90
New causes death:50 (3 import, 41 foreigners)
Deaths:0"
ايدي بن داود,@eddydaud,2020-05-21T08:13:31.000Z,"Of the 4 politicians listed, who do you perceive as most qualified for PM having the determination, clarity of thot, will to make the tough decisions and the heart to lead Malaysia thru this Covid 19 pandemic and the post pandemic economic and social push."
Tan Seng Giaw,@Senggiaw,2020-05-21T06:12:15.000Z,"Covid-19 pandemic is in full swing: more than 5 million cases in the world. World Health Organisation gives a warning: giant wave is in full blast. There are 7,009 cases in Malaysia. She adjusts movement control order and increases contact tracing. Vigilance."
Realist,@dyzulll,2020-05-20T23:36:00.000Z,Pos Malaysia Bhd claimed that the Covid-19 pandemic had affected its business following appeals from social media users asking it to give its staff a bonus for Hari Raya.
ange ushiromiya stan account,@doiokov,2020-05-20T17:57:00.000Z,not twitter recommending me covid updates for malaysia...reunification agenda going strong i see
ainaaaaa,@ainaaanaaa,2020-05-20T16:46:32.000Z,"Assalamualikum and salam sejahtera 
We are students from UiTM Puncak Perdana currently make a video about issue that going viral and related to novel coronavirus (covid-19) outbreak in Malaysia right now. Hope you guys enjoy watching this video 
......."
Giarc Nibisna,@craigansibin,2020-05-20T15:35:07.000Z,"Malaysia’s Covid-19 statistic:
It takes 56 days to reach the 1000s cases, only 7 days to the next thousand (2000s), 
8 days (3000s), 
7 days (4000s), 
8 days (5000s), 
16 days (6000s), and the latest, 
21 days for the 7000s. 

#malaysia #Covid_19 #StayAtHome"
Mahabub ali,@MahabubAli_1001,2020-05-20T15:16:59.000Z,Best treatment in Malaysia about COVID-19
Jan Michael Gomez,@spatialdiplomat,2020-05-20T14:11:07.000Z,"6 new COVID-19 cases and 4 new recoveries in Myanmar was announced at the MOHS 8PM update:

Total Cases - 199
Recoveries - 108
Deaths - 6
Active Cases - 85

17 out of 18 new cases in past 7 days are recent returnees from Malaysia (9) and UAE (8)"
David Palma,@iamdavidpalma,2020-05-20T13:36:15.000Z,"Is it safe to travel to Malaysia?
OVERALL RISK : MEDIUM
Malaysia is generally a safe country to visit. It is a country where you are unlikely to encounter violence, but you should be careful when it comes to petty crime because its rate is high.
COVID-19:  No new death!"
Cik Rose,@eqcreativemy,2020-05-20T13:30:07.000Z,"Deaths toll COVID-19 in ASEAN (20/5/2020):
 Indonesia: 1,242
 Philippine: 842
 Malaysia: 114
 Thailand: 56
 Singapore: 22
 Myanmar: 6
 Brunei: 1
 Vietnam: 0
 Cambodia: 0
 Laos: 0

#COVIDー19 
#CoronavirusPandemic"
Cik Rose,@eqcreativemy,2020-05-20T13:29:01.000Z,"Higher CASE COVID-19 in ASEAN (20/5/2020):
 Singapore: 29,364
 Indonesia: 19,189
 Philippine: 13,221
 Malaysia: 7,009
 Thailand: 3,034
 Vietnam: 324
 Myanmar: 193
 Brunei: 141
 Cambodia: 122
 Laos: 19

#COVIDー19 
#CoronavirusPandemic"
IAmNotYourCupOfTea,@IAmNotYourCupO1,2020-05-20T09:21:59.000Z,"So, there's a new Covid case in Kelantan. The patient travel back to Kelantan from Ampang during the allowable period to cross interstate. Yet today, there are thousands of Covidiots on highways who are pushing their luck untuk balik kampung for Hari Raya. Good Luck, Malaysia."
The Edge Malaysia,@theedgemalaysia,2020-05-20T08:56:06.000Z,"Flash: Covid-19: Malaysia reports 31 new infections today, with no death; total cases now at 7,009"
Joe RK Jr.,@joekaosjr,2020-05-20T08:40:25.000Z,"Today (Wed, May 20), #Malaysia has 31 new #Covid-19 cases. It is the 9th day in a row that the number of new infections in the country is less than 50."
james leng,@jameslengjy,2020-05-20T08:39:52.000Z,"Malaysia 20th May CCP Virus COVID-19 Update
+31 > 7009 Total Confirmed Cases (10 imported, 21 local transmission) (Of 21, 10 are foreigners)
+0 > 114 Deaths (1.62% of total)
+60 > 5706 Total Recovered (81.4% of total)
11 ICU (7 require ventilator)
1189 Active Cases"
TheMalaysianInsight,@msianinsight,2020-05-20T08:37:02.000Z,"JUST IN: Malaysia's #Covid_19 death toll remains at 114.
* 60 discharged, total now is 5,706
* 31 new cases, total now is 7,009
* 11 in ICU, 7 on ventilators"
