UserName,Handle,Timestamp,Text
izz,@izzulrfn_,2020-11-28T10:29:46.000Z,Something fishy pula kes covid kat malaysia ni
Mior 365 News,@Mior365News,2020-11-28T10:20:00.000Z,"BREAKING: 1,315 NEW CASES OF COVID-19 IN MALAYSIA, 4 DEATH RECORDED."
TheMalaysianInsight,@msianinsight,2020-11-28T10:15:56.000Z,"JUST IN: Malaysia's #Covid_19 death toll is at 354 with 4 new deaths. 
* 1,110 discharged, total now is 51,314.
* 1,315 new cases, total now is 63,176.
* 11,508 active cases
* 118 in ICU, 43 on ventilators

#Kitajagakita"
The Edge Malaysia,@theedgemalaysia,2020-11-28T10:14:03.000Z,"Flash: Malaysia reports 1,315 new Covid-19 cases today"
The Edge Malaysia,@theedgemalaysia,2020-11-28T09:28:04.000Z,"Flash: Malaysia’s agreement with Pfizer void if Covid-19 vaccine fails to be registered with FDA, NPRA — health DG"
Tamil Cinema Ulagam (Malaysia),@ulagam_cinema,2020-11-28T08:14:36.000Z,"#Airasia owned #TuneHotels in Malaysia turned to be a Rented House due to Covid pandemic...

Anyone can rent room for one Month (2000 Malaysian Ringgit equal to 35000 Indian rupees)

They also offering 17 RM per night (259 Indian rupees) if people stay for long time
@sri50"
Timorous Enigma,@enigma_timorous,2020-11-28T07:02:52.000Z,If #Master goes to OTT that will be a huge shock and a very raw deal for theatres in tn. Covid 2nd wave all over Europe even in Asia like Malaysia (Recent lockdown ect) has made a theatrical release uncertain. It is clear now big films can release only after a vaccine #Valimai
Firdaus,@Firdaus64114239,2020-11-28T06:52:14.000Z,"The effectiveness of COVID 19 vaccine in eradicating SARS-CoV-2 in a community screen and treat programme (Malaysia).

Ada sape yang nak offer aku jadi RA ke untuk research nie."
tiqah l Alquran Tagging l Fever Glam,@atiqahhhhnur,2020-11-28T06:44:47.000Z,"I just miss the moment we enjoy in penang, i meant like the environment with friends, going to qb, going to lectures together, but now everything is diff :')
Wahai covid , cepatlah pegi dari malaysia ni "
ラデン,@radinmikah,2020-11-28T04:41:18.000Z,Why malaysia bought covid vaccine from pfizer. Store at - 70 deg Celsius kot. Seriously kkm
Jia,@NajihahSharif,2020-11-28T02:43:35.000Z,"just watched a great documentary regarding Malaysia vs covid 19 on Astro , aaaaa my heart 
 all sacrifice and hard work from any sector, im so touched "
Aladin,@AladinSauvage,2020-11-28T02:41:05.000Z,"Malaysia:
16000 deaths from heart disease (goreng goreng food)
4000 traffic accidents
12000 Pneumonia
8000 Cerebrovascular
350 COVID 

This is a farce, no lockdowns (measures) on vegetable oils which cause heart disease, but draconian measures bc of a little virus that killed 350"
Emon,@aimanhxzm,2020-11-27T16:57:29.000Z,"I could’ve gone to Korea for my program this year, United were supposed to come to Malaysia last summer, both of which didn’t go to plan cos of covid. Fuck covid"
heocaroon,@nrizzahanis,2020-11-27T16:15:23.000Z,pls la habis covid cepat cus i wanna go to nct concert with my bff and sm pls bring nct to malaysia 
나나,@only__nana,2020-11-27T15:42:35.000Z,"After this covid ended, I should prepared my money for nct world tour. They surely will come to indo so yeahhh i need money to fly there incase malaysia is not in their map"
12/4,@pawstaem,2020-11-27T10:46:44.000Z,malaysia is purchasing the pfizer inc's covid-19 vaccine? they’re finalised it?
TheMalaysianInsight,@msianinsight,2020-11-27T10:29:05.000Z,"JUST IN: Malaysia's #Covid_19 death toll is at 350 with 2 new deaths. 
* 1,148 discharged, total now is 50,204.
* 1,109 new cases, total now is 61,861.
* 11,307 active cases
* 113 in ICU, 41 on ventilators

#KitaJagaKita"
R,@motus2711,2020-11-27T10:18:31.000Z,"Curious. But how do I report to KKM on Covid 19 positive case at workplace anonymously? 
@kkmm_gov
 @KKMPutrajaya
 #kkm #covid19 #malaysia"
sha,@alwaysmnds,2020-11-27T05:57:09.000Z,when will covid be over i miss travelling even if it’s just to malaysia 
ᴏʀɢᴀɴɪᴄ ʟɪғᴇғᴏʀᴍ,@tylerbinx,2020-11-27T01:16:39.000Z,"""WeRe bEiNg oPprEsSeD wItH tHeSe CoViD lAwS""

Motherfucker if you want to see real oppression, go to Iran. Go to North Korea. Go to Ghana. Go to Malaysia. Go to Saudi Arabia. Literally, go to Cuba."
