UserName,Handle,Timestamp,Text
☁︎,@oliviamattheww,2020-10-29T18:13:23.000Z,"when I and him on a first call, he said that he wanted to meet me in Malaysia and I said that you cant go here because of covid. and he said its okay, i willing to swim for you as long as i can see you hahahaha omg he is so sweetalker "
Kath™,@heykathhh,2020-10-29T18:03:45.000Z,"My feet are itching for another out-of-the-country travel. I wanna travel solo this time. Maybe, SG? Taiwan? Malaysia? Can’t wait for CoVid to just disappear. "
leeyleey,@tamaharuchan,2020-10-29T14:53:16.000Z,"All these goons (politicians), can they stop talking on behalf of others?We should focus on Covid-19 now. You can condemned others but please use a diplomatic ways.I thought your years in politics   teach you something.I wonder if he's trying to make people angry with Malaysia."
khalid karim MRTCo RM53B LOSS,@khalidkarim,2020-10-29T13:15:35.000Z,"Some really huge uncrease in Covid infections & deaths in so many countries...

Have any Prime Minister requested for Emergency & suspension of Parliament?

Is Malaysia the only country to try to do that stunt?"
Barry Chan Kong Heng,@barrychan889,2020-10-29T13:02:20.000Z,"Latest Status COVID-19 of Malaysia on October 29, 2020

Total Active Cases: 10,087 (New Cases: 649)

Total ICU Cases: 106 (Intubated: 23)

Total Recovered Cases: 19,757 (New Recovered Cases: 685)

Total Deaths: 246 (New Deaths: 0)

Total Confirmed Cases: 30,090"
• wani •,@Apinks_star,2020-10-29T12:46:09.000Z,"Please apink come to Malaysia after covid end 
 I NEED TO SEE Y'ALL AT LEAST ONCE IN MY LIFE PLEASE"
Dan Sebastian,@DanSebastianKng,2020-10-29T10:47:24.000Z,"We record zero death after so long.  Keep up the good work #Frontliners

#Covid-19 
#Malaysia 
#ZeroDeath
#HealthWorkers"
TheMalaysianInsight,@msianinsight,2020-10-29T10:20:04.000Z,"JUST IN: Malaysia's #Covid_19 death toll remains at 246  today.

* 685 discharged, total now is 19,757
* 649 new cases, total now is 30,090
* 10,087 active cases
* 106 in ICU, 23 on ventilators

#KitaJagaKita"
Ved Nayak,@catcheronthesly,2020-10-29T09:25:57.000Z,"India crossed 8 million mark in Covid y'day. At this juncture, the neighborhood snapshot is:

India 5808 cases/Mn, 87 deaths/Mn

B Desh 2440, 35

Pak 1490, 30

Nepal 5540, 30

S Lanka 429, 0.9

AFG 1049, 39

Myanmar 900, 21

Thailand 54, 0.8

Malaysia 906, 8

Indonesia 1472, 50"
COVIDBot,@COVID19_bot,2020-10-29T08:40:03.000Z,"Total COVID-19 tests performed in Malaysia: 2,044,398. 29,441 cases, of those 0 today; 246 deaths, of those 0 today."
